Mouse	"time since TAM start (days)"	TH.iSP	TH.DP1	TH.DP2-3	TH.immSP4	TH.matSP4	TH.immSP8	TH.matSP8	TH.naiTreg	TH.memTreg	TH.8mem	SP.4nai	SP.4CM	SP.4EM	SP.8nai	SP.8CM	SP.8EM	SP.naiTreg	SP.memTreg	LN.4nai	LN.4CM	LN.4EM	LN.8nai	LN.8CM	LN.8EM	LN.naiTreg	LN.memTreg
TH359_d21	21	99.18	73.53	15.64	12.99	12.12	1.67	18.48	5.71	6.09	8.32	1.78	34.04	13.54	1.95	4.21	16.70	4.66	3.74	1.04	31.01	15.74	1.25	3.85	18.23	5.44	5.89
TH359_d21	21	97.90	69.61	14.98	12.78	9.03	1.60	13.15	6.03	6.78	5.46	2.15	32.43	11.39	2.33	4.11	25.36	4.19	3.69	1.47	32.36	17.00	1.68	3.93	18.69	5.91	7.54
TH359_d21	21	97.54	72.64	19.29	13.74	7.98	3.60	19.82	3.58	6.37	7.71	2.41	36.15	14.56	2.56	5.05	23.38	6.64	6.27	1.03	25.62	20.08	1.74	3.53	19.30	6.27	8.25
TH359_d21	21	97.15	78.05	20.32	16.72	9.01	4.78	21.81	7.36	9.89	12.90	2.25	29.43	16.60	2.75	5.17	28.99	6.57	6.96	1.18	26.83	19.10	1.99	3.75	22.70	7.57	8.43
TH362_d4	4	99.11	55.73	9.73	5.68	9.15	0.64	12.74	7.37	5.32	3.47	1.33	28.51	10.88	1.24	6.41	27.98	3.25	3.51	1.10	29.18	13.15	0.98	5.27	10.45	4.32	5.34
TH362_d4	4	98.51	59.60	9.45	5.08	8.62	0.97	10.76	5.07	3.36	4.39	1.50	32.79	14.36	1.42	11.23	30.13	4.68	4.55	1.05	29.67	14.56	1.06	8.44	15.99	4.39	5.21
TH362_d4	4	98.33	58.34	12.30	6.84	7.69	1.53	11.09	5.77	3.63	4.67	1.18	33.13	13.90	1.39	15.94	38.36	4.84	6.23	1.01	30.25	16.92	1.19	11.21	22.77	4.45	6.93
TH356_d100	99	99.51	71.32	32.45	14.07	8.48	1.74	7.34	7.63	7.35	5.30	1.04	23.50	8.98	1.30	3.94	12.90	2.78	1.96	1.13	25.65	9.97	1.70	3.85	11.60	3.71	4.41
"TH356_d100 WEIRD THYMUS*"	99*	100.00*	99.65*	97.50*	89.68*	61.19*	78.78*	77.47*	71.92*	83.40*	50.70*	1.48*	19.34*	9.45*	1.74*	3.48*	9.52*	2.40*	3.21*	1.02*	17.37*	14.48*	1.43*	2.85*	18.54*	2.87*	4.39*
TH356_d100	99	99.82	71.79	40.44	19.03	10.07	2.15	11.30	7.14	4.26	4.71	1.53	21.05	8.83	1.85	3.60	14.35	2.77	2.21	0.91	21.40	11.71	1.28	2.56	15.03	2.91	4.62
"TH356_d100 no TAM ctrl"	0	99.60	73.40	37.50	16.00	10.50	3.32	14.40	5.41	9.27	5.07	1.20	27.20	13.70	1.29	3.57	19.50	2.76	3.76	1.12	25.50	14.30	1.43	3.48	25.90	3.54	6.77
TH362_d17	17	99.35	77.38	41.62	17.95	8.42	2.81	13.53	6.36	8.81	8.21	2.02	28.28	14.13	1.99	3.32	17.94	4.06	4.48	1.36	28.76	17.76	1.45	2.28	11.30	4.79	7.33
TH362_d17	17	99.81	74.25	36.16	17.19	12.97	1.72	19.51	5.11	8.39	10.79	1.83	27.21	11.80	2.14	4.05	30.57	4.08	4.16	1.24	27.26	20.69	1.58	3.26	22.81	3.95	6.85
"TH362_d17 no TAM ctrl"	0	99.40	72.80	34.70	16.00	10.40	1.62	15.00	8.23	5.13	5.78	0.95	26.20	12.10	0.97	3.33	14.50	2.17	3.73	0.84	26.50	14.80	1.20	3.01	15.60	3.45	7.68
TH362_d24	24	99.50	70.46	33.50	14.33	7.33	1.08	15.18	6.09	6.41	6.01	1.58	23.71	9.45	2.05	2.69	21.01	3.75	4.02	1.16	26.01	11.01	1.57	1.94	13.98	4.13	4.69
TH362_d24	24	99.63	75.14	34.73	14.00	9.63	1.06	15.11	3.96	4.78	3.48	1.28	29.91	17.69	1.75	4.15	29.70	4.07	3.66	0.94	27.61	15.19	1.32	3.37	23.61	3.74	5.38
"TH362_d24 no TAM ctrl"	0	99.30	75.70	35.40	14.80	9.98	1.36	14.50	5.31	8.68	6.40	0.91	25.00	10.60	1.35	3.40	21.20	2.45	2.88	1.01	26.70	13.40	1.33	3.09	19.90	3.06	4.55
TH362_d38	38	99.02	81.00	32.28	21.08	11.99	0.96	17.51	9.49	8.94	8.82	2.66	28.20	12.27	3.04	6.67	22.57	4.90	4.49	1.37	30.26	14.68	1.64	4.82	15.86	3.32	5.48
TH362_d38	38	99.40	80.84	36.37	21.29	7.87	1.58	16.44	4.16	6.68	5.37	3.68	27.42	13.16	3.90	6.05	28.65	6.58	6.41	1.28	26.26	13.91	1.46	3.61	21.28	3.62	5.58
"TH362_d38 no TAM"	0	99.40	76.60	26.40	17.21	9.74	1.18	13.90	5.12	6.42	4.89	1.49	29.40	14.20	1.68	5.28	17.30	3.41	3.22	1.35	23.20	18.60	1.60	5.29	23.09	3.39	5.28
TH362_d52	52	99.26	75.54	39.90	18.24	12.30	1.13	16.52	5.96	9.69	8.80	2.67	28.07	11.41	2.66	4.73	19.16	4.79	5.35	1.29	28.14	14.36	1.55	2.92	13.09	4.54	6.21
TH362_d52	52	99.42	79.77	41.62	20.03	11.14	1.97	17.50	8.07	8.47	8.97	5.07	33.84	12.92	5.89	11.32	24.14	6.56	5.65	1.70	18.13	9.79	2.34	6.88	18.02	3.46	6.20
"TH362_d52 no TAM"	0	99.30	70.90	31.44	14.20	10.10	1.36	13.40	5.99	6.36	5.61	1.79	28.94	10.73	1.94	5.99	18.00	4.79	3.57	1.38	27.72	13.91	1.50	5.25	17.60	4.32	5.86
